MMSI,Length,area,sc,compactness,r_1_0,mean,variance,theta,class
MMSI431007894,11,33,1.890567809,0.405121673,0.015873016,0.102238797,0.027626097,27.58113682,1
MMSI431400386,22,132,1.890567809,0.405121673,0.066666667,0.194451762,0.068292938,-15.68896931,1
MMSI431500212,14,42,2.190275169,0.386519148,0.103448276,0.38621479,0.043515203,14.76134318,1
MMSI311000104,39,624,1.543088791,0.448898557,0.254901961,0.21741523,0.061172358,-109.2583973,1
MMSI353902000,31,310,1.726061028,0.420990495,0.163636364,0.150110594,0.036254421,-36.75577702,1
MMSI354120000,54,378,3.133415573,0.359572279,0.376344086,0.434578649,0.110895007,-2.014375987,1
MMSI372226000,44,528,1.890567809,0.405121673,0.267326733,0.271466428,0.085890142,-90.36276238,1
MMSI538006385,51,612,2.064333232,0.39320633,0.292929293,0.211834126,0.073934278,38.6273808,1
MMSI353902000,27,216,1.805229679,0.412623927,0.084745763,0.163731874,0.045457646,-43.81537996,1
MMSI354120000,54,378,3.133415573,0.359572279,0.454545455,0.445186015,0.11105061,-2.760375045,1
MMSI355887000,26,286,1.523658161,0.452979453,0.132743363,0.186209289,0.0382375,-38.41280302,1
MMSI431200271,16,80,1.754683248,0.417781726,0.075630252,0.203164923,0.054770586,-53.74944347,1
MMSI432756000,23,138,1.939845031,0.401347248,0.20754717,0.403169904,0.086384926,-33.38825788,1
MMSI356814000,21,210,1.45664667,0.469886022,0.132743363,0.270156936,0.094774358,-18.20558725,1
MMSI372711000,63,3087,1.293449696,0.565884242,0.72972973,0.268912672,0.106991136,-108.4191637,1
MMSI373917000,73,1606,1.788758856,0.414238893,0.542168675,0.256256598,0.097033188,-96.93821435,1
MMSI548843000,38,266,2.423223758,0.376945918,0.391304348,0.424521944,0.107997011,5.512753008,1
MMSI667003260,21,189,1.515761363,0.454728409,0.094017094,0.267630268,0.097558783,-4.229492188,1
MMSI352714000,45,360,2.483701306,0.37489831,0.28,0.228569839,0.066989871,35.65283876,1
MMSI371084000,14,56,1.841650056,0.409255568,0.075630252,0.261588163,0.059143708,31.44394233,1
MMSI371160000,21,126,1.841650056,0.409255568,0.153153153,0.305089376,0.07625226,2.935380156,1
MMSI431003941,19,95,1.929963099,0.402075646,0.075630252,0.304441874,0.098482602,27.21443062,1
